oid,positive,negative,score
1,"It is good that there is AIR MILES REWARDS PROGRAM because I love collecting points and use it like buying food, gas, vacation, or pay it to hotels. Continue to buy in the participating store listed to continue to collect the rewards and then we are fully rewarded for the free stuffs in exchanged of points. Thank you Air Miles for your program. Every body is enjoying the benefits of the program. Keep up the good work",no negative,5
2,"2nd UPDATE: Uninstalled and reinstalled the app like the developers suggested. A useless solution since the app is still the same version 5.6 UPDATE: I emailed Air Mile and this is the response I received. ""The group mobileappsupport only accepts messages from people in its organization or on its allowed senders list, and your email address isn't on the list."" Been waiting and waiting to be able to take part in the Carousel of Dreams but my app still has not updated",no negative,4
3,no positive,"There was absolutely nothing wrong with the previous version. This one stinks real bad. So I uninstalled, installed again and now I have the previous one that works again. I'll never understand the mind(empty)set of this current generation of developers",1
4,no positive,"The Carousel of dreams banner in rhe app worked for 2 days and now it doesn't show so I can't play. Yes I tried reloading, rebooting, and clearing the app cache... a few times! Nothing seems to work. Help line didn't help.",1
5,no positive,Disappointed as I am unable to play the carousel of dreams. It is November 4th...last update on Google play was on October 28th (a week after this started) and today this is still not available on the app. Have deleted the app twice and it still doesn't show up. Maybe because I am in Canada?,3
6,no positive,"What the ...! Installed, it is the latest version! Kept geting email/text to get the app to enter Carousel of Dreams contest only available on app, Don't think I'm going to win anything, app is useless ( can't open contest) card is also hidden! Frustrating waste of time",1
7,no positive,"Well everything was working fine until the last update. Now whenever I try to login it says ""something went wrong"". Not sure how hard it is to update the app without breaking it. Really want it to get fixed soon.",3
8,no positive,I just installed it and it says i have to update it....really?? Says i don't have the lastest and that's why i don't have the carrousel of Dreams... This message popped up the first time i opened the app...i didn't even have a chance to try and find it within the app.... So why are u soliciting to install the app for the carousel of Dreams when clearly there is a problem with this app (as many others have mentioned),1
9,no positive,"The problem I have with the app is that there is no search feature for the merchandise rewards. This is an issue with the Apple version as well. As it is, I have to scroll through the categories to find what I'm looking for. I'd probably give it a 5 star rating if this was fixed.",2
10,no positive,"Suddenly, the app shuts down upon entering my login info. Just deleting it, Air Miles are just a waste of time lately, lots of vendors dropping them!",1
11,no positive,"App did not work. Downloaded App tried to open several times, message App stopped working. After several attempts I Uninstalled the App.",1
12,I love this app it's pretty cool but what I love more is the air miles and dream miles I can't wait to actually use them for trips and stuff or I could fly anywhere thank you so much for coming up with this special program I love you guys,no negative,5
13,no positive,"EDIT 5: Responding to your comments that I should have Android 13 and App version 5.8.1 and try downloading on data. App version 5.8.1 is not in the Google Play Store as noted in the app info screen. App info screen states version available to be 5.7. Info screen also says minimum Android OS is 5 or higher. So requirements need to be updated in the store and the ability to download 5.8.1 needs to be available. Again, lack of proper support. No wonder companies are leaving the Air Miles program.",1
14,no positive,Functions in the app are consistently not working and advising to update the app regularly. When you go to the app settings or app store there are no updates available,2
15,no positive,Having issue getting my air miles. This happens all the time. I didn't get my 20 point from carousel of dreams and I am constantly missing points from shopping. Getting kind of sick of it,3
16,"The Carousel of Dreams isn't working. My app is up to date. I had uninstalled it and reinstalled. No luck, but now it worked. We'll see tomorrow.",no negative,4
17,"I switched to cash miles, and the app makes it super simple to collect and redeem. I find cash miles are much more worth it than dream miles ever were. It took me 5 years to get enough dream miles for an air fryer. I have redeemed enough cash miles in the last year to buy the air fryer 3 times over.",no negative,5
18,no positive,I can't get the app to work anymore. It sends me to Firefox and does nothing. What happened to the app?,1
19,no positive,Carousel of Dreams... Not showing up in app anymore... Another failure by this Company it worked better when it was Canadian owned. Time to uninstall,1
20,no positive,Still crashing repeatedly... Each install it is the same thing have tried 14 times so far  its still crashing...,1
21,no positive,So I have no room on my phone to update this app. So therefore it doesn't work. What a piece of work you people are. Now I know why Empire (safeway) has ended its affiliation with you,1
22,I have had nothing but amazing service with AirMiles. So helpful customer service people and very knowledgeable.,no negative,5
23,no positive,It always logs me out of my account even though no one else has access to it and I'm losing points. And I can't even recover my old airmiles with my points,1
24,no positive,Can't update the app to enter the carousel dream contest. I've uninstalled and installed again and doesn't work,1
